"NOME","CNS","CPF","PIS","DATA_NASCIMENTO","NOME_MAE","ID_ORIGEM","DATA_EVENTO","COMPETENCIA","ID_EVENTO_ORIGEM","STATUS","DATA_INATIVACAO","GESTACAO","PESO","ALTURA","DPP","DUM","SEMANA_GESTACAO","UBS","PROFISSIONAL"
"YONARA LILIAN DA SILVA GOMES","701805268605777",,,"1989-04-03","ANA BERNALDO DA SILVA","184","2019-03-14","2019-12","1","ATIVO",,,,,"2019-11-17","2019-02-10",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"YONARA LILIAN DA SILVA GOMES","701805268605777",,,"1989-04-03","ANA BERNALDO DA SILVA","184","2019-07-04","2019-12","1","ATIVO",,,,,"2019-11-17","2019-02-10",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"DAYANNA MAYARA ALVES DA SILVA","705004831508050",,,"1990-08-28","CLAUDETE ALVES DA SILVA","198","2018-09-18","2019-12","1","ATIVO",,,,,"2019-03-22","2018-06-15",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"BIANCA PEREIRA DA SILVA","702408568154023","02356854290","16130166428","1996-04-17","EUNACELIA PEREIRA DA SILVA","221","2019-10-03","2019-12","1","ATIVO",,,,,"2020-04-12","2019-07-05",,"UNIDADE BASICA DE SAUDE DR. DALMO SILVA FEITOSA",
"AMANDA VITOR SIMOES","700106875391590",,,"1986-07-16","FRANCISCA VITOR SIMOES","250","2019-11-06","2019-12","1","ATIVO",,,,,"2020-07-02","2019-09-25",,"UNIDADE BASICA DE SAUDE DR SILVIO LEITE",
"GIZELY CASTRO DA SILVA MELO","700106962772320","05013128200","16297968722","2005-03-30","SHIRLENE CASTRO DA SILVA","269","2019-06-06","2019-12","1","ATIVO",,,,,"2019-11-27","2019-02-20",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"ANNA PAULA SILVA SOARES","704801063645646","01915183286",,"1990-08-29","DIANA DA COSTA SILVA SOARES","309","2019-10-04","2019-12","1","ATIVO",,,,,"2020-04-29","2019-07-22",,"UNIDADE BASICA DE SAUDE SENADOR HELIO CAMPOS",
"JOILA BETANIA SOUSA FIGUEREDO","705000627487950",,,"1988-11-19","JULIA LUIZA DE SOUSA FIGUEREDO","352","2019-01-31","2019-12","1","ATIVO",,,,,"2019-08-01","2018-10-25",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"JOILA BETANIA SOUSA FIGUEREDO","705000627487950",,,"1988-11-19","JULIA LUIZA DE SOUSA FIGUEREDO","352","2019-05-23","2019-12","1","ATIVO",,,,,"2019-08-01","2018-10-25",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"WENDY MARIANO CARDOSO","898003025479932",,,"1995-08-21","MARIZA DA SILVA MARIANO","368","2018-09-25","2019-12","1","ATIVO",,,,,"2019-01-17","2018-04-10",,"UNIDADE BASICA DE SAUDE AYGARA MOTTA PEREIRA",
"JHULIANE GADELHA DOS SANTOS","700502308384158",,,"2001-02-15","SIMONE GADELHA MACHADO","380","2019-05-28","2019-12","1","ATIVO",,,,,"2020-01-02","2019-03-26",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"LETICIA CARVALHO BEZERRA","702403055108520",,,"1997-09-29","MARLI CARVALHO BEZERRA","381","2018-08-17","2019-12","1","INATIVO",,,,,"2019-02-28","2018-05-21",,"UNIDADE BASICA DE SAUDE OLENKA MACELLARO THOME VIEIRA",
"CARLA FERREIRA DE SOUSA","702001813398780","55034640287","16305760889","1996-08-06","ZELIA MIRANDA FERREIRA","407","2019-11-13","2019-12","1","ATIVO",,,,,"2020-04-05","2019-06-28",,"UNIDADE BASICA DE SAUDE OLENKA MACELLARO THOME VIEIRA",
"PALOMA SILVA DE SOUSA","706401145496989","01963179242","16631470847","1993-08-04","MARIA JUCINEIDE SILVA DE SOUSA","469","2018-08-09","2019-12","1","ATIVO",,,,,"2018-09-16","2017-12-09",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"JARDEANE ARAUJO SILVA","703608021583537",,,"1997-05-24","EDSANDRA DIONISIO ARAUJO","487","2019-10-25","2019-12","1","ATIVO",,,,,"2020-06-13","2019-09-06",,"UNIDADE BASICA DE SAUDE SAO VICENTE",
"LARISSA ROSA DE OLIVEIRA","705601448637015",,,"1996-12-16","FRANCISCA ROSA DE OLIVEIRA","522","2018-08-09","2019-12","1","ATIVO",,,,,"2019-03-04","2018-05-28",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"KELIANE DE SOUSA COSTA","700001098201307",,,"1992-09-23","MARIA ANTONIA DE SOUSA COSTA","561","2019-06-06","2019-12","1","ATIVO",,,,,"2019-06-12","2018-09-05",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"MARIANNA GABRIELLA FRANCA BENTES","704406303414110","98627341249",,"1981-12-15","MARIA DAS GRACAS ALENCAR FRANCA","683","2019-06-27","2019-12","1","ATIVO",,,,,"2019-12-22","2019-03-15",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"MARCIA ANDREIA LOURENCO RIBEIRO","702605266984541",,,"1987-07-24","MIRAMAR LOURENCO THOMAS","727","2019-08-01","2019-12","1","ATIVO",,,,,"2020-03-12","2019-06-05",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
