"nome","cns","cpf","pis","data_nascimento","mae","id_origem","data_evento","competencia","id_evento_origem","status","data_inativacao","gestacao","peso","altura","dum","dpp","semana_gestacional","local","profissional"
"LAZARO HENRIQUE TAVARES DE ASSIS SOUSA","898004669553749",NULL,NULL,"2015-04-26","MARIANA DAMASIO DE ASSIS","4130","2019-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"VALENTINA TAVARES RIBEIRO FERREIRA DE OLIVEIRA","898005102223056",NULL,NULL,"2015-09-25","MICHELLE ANDRESSA RIBEIRO TAVAES","4156","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"EDUARDA LOHANE OLIVEIRA SANTOS","898004604678261",NULL,NULL,"2015-01-07","LENIR DE OLIVEIRA NASCIMENTO","4142","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"JONATHAS MIQUEIAS DE SOUZA ALVES","898004104124062",NULL,NULL,"2013-05-24","RAIANE DE SOUZA ALVES","4208","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LUYS PHELIPE MAIA DA SILVA","898005148908124",NULL,NULL,"2016-11-30","JAILANE MAIA DA SILVA","4366","2019-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"TULIO BRABO SANTOS","898005123521897",NULL,NULL,"2015-05-20","XIMENIS ALINI CAMARGO BRABO LOPES","4373","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"DIEGO KAUA RAPOSO LEAL","706908118954736",NULL,NULL,"2016-05-12","DIENE CATRINE PEIXOTO LEAL","4401","2017-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"MARIA LUISA MONTEIRO SILVA DA COSTA FEITOSA","708406220606767",NULL,NULL,"2017-12-22","KEISE LUISARDO MONTEIRO DA SILVA","4257","2019-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"JOAO PEDRO PERREIRA NORONHA","702009846522984",NULL,NULL,"2013-03-09","VANESSA PERREIRA NORONHA","4370","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"DAVI LUCAS ALVES MORAIS","898004631242916",NULL,NULL,"2015-04-03","EDIZA ALVES SILVA","4455","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"VITORIA DE PAULA RODRIGUES DO NASCIMENTO","898005152121672",NULL,NULL,"2017-01-28","PAMELA RODRIGUES DO NASCIMENTO","4472","2017-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LARA MELINDA ARAUJO DE MORAES","898004873072486",NULL,NULL,"2015-10-21","LARA MELINDA ARAUJO DE MORAIS","4398","2017-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"PEDRO HENRIQUE SANTOS DA COSTA","704006825640361",NULL,NULL,"2014-12-15","ELENI  ALMEIDA DOS SANTOS","4551","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LUCAS GABRIEL RIBEIRO DOS SANTOS","898005809391992",NULL,NULL,"2017-08-18","GABRIELY CARINNY R DOS SANTOS","4569","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CALEB DANIEL FERREIRA PINTO","898005836059286",NULL,NULL,"2013-02-04","YOMAIRA DEL CARMEN PINTO MOTA DE FERREIRA","4460","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"JOSE VINICIUS AMORIM SANTANA MALLMANN","898005194258951",NULL,NULL,"2016-02-20","BERENICE DA SILVA AMORIM","4270","2019-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"DAVI LEANDRO BRITO GASKIN","898004531619082",NULL,NULL,"2014-10-26","MARIA DE NAZARE BRITO DE SOUZA","4486","2019-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"MARIA VITORIA DA SILVA",NULL,NULL,NULL,"2014-08-30","NAO INFORMADO","54436","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"BRENDON CALEB DE SOUZA LIMA","898004994808149",NULL,NULL,"2016-02-26","ANA LUZIA DE SOUZA LIMA","4483","2019-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CRITOPHER JOSE SILVA DA PAZ","898005836061892",NULL,NULL,"2015-05-08","KENNYA JANAINA SILVA DA PAZ","4485","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"DANYEL KAYRON SOUZA SANTOS","898005811206471",NULL,NULL,"2017-07-11","LUDMILA LORENA AMARAL SOUZA","4563","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ELIAS UZALIO BARBOSA PEIXOTO","898004815123707",NULL,NULL,"2014-03-15","CRISTIANA PEREZ PEIXOTO","4595","2017-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ALICE PEREIRA DE CASTRO LIMA","898005825656245",NULL,NULL,"2017-11-04","JEAN PATRICIA DA SILVA PEREIRA","4131","2017-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ELOISA PEREIRA DO NASCIMENTO","898004539113161",NULL,NULL,"2014-09-09","FABIOLA PEREIRA ANICETO","4169","2019-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"JHON SALES NICACIO","898004816205731",NULL,NULL,"2015-05-04","SECILITA SALES EDMAN INGARICO","4172","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"FILHO DE ANA SANUMA",NULL,NULL,NULL,"2017-08-11","ANA SANUMA","4235","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"MARIA EDUARDA SOUSA GALVAO","898004147848224",NULL,NULL,"2013-08-21","MARIA JOSE SOUSA FURTADO","4223","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"RIKELME RIBEIRO DA SILVA","898004929440116",NULL,NULL,"2015-06-05","LIDIA DE SOUZA RIBEIRO","4233","2017-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"EMILLY VITORIA FEITOSA RIBEIRO","898005106420328",NULL,NULL,"2016-03-29","MARINALVA DOS SANTOS FEITOSA","4240","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ALEJANDRA SOPHIA ALMEIDA",NULL,NULL,NULL,"2017-03-27","LEIRIELE ALMEIDA DE SOUSA","4369","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ALHIZ NAARA VELAZQUEZ VELARDE","898005819586974",NULL,NULL,"2017-10-21","DILENNY JOSEFINA VELARDE","4299","2019-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"FILHO DE ANA CARINA VIEIRA DA SILVA","898005824050637",NULL,NULL,"2017-11-30","ANA CARINA VIEIRA DA SILVA","4363","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"KASSIA DA SILVA","708509022297980",NULL,NULL,"2013-01-14","ANA DA SILVA","4365","2017-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"KAEL ALERANDRO BARRETO QUEIROZ","898005836061949",NULL,NULL,"2016-12-06","KEROLLAYNE KATHYUCI BARRETO QUEIROZ","4473","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ELIAS MOSELE","898005836062244",NULL,NULL,"2017-02-07","THAIS BRUNA JANUARIO","4476","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"MIGUEL NOGUEIRA PONTIS",NULL,NULL,NULL,"2017-05-09","DAYANE MARA NOGUEIRA SANTOS","4502","2017-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ESTHER DA SILVA INACIO","898005180155268",NULL,NULL,"2017-01-02","KEILA DA SILVA","4445","2019-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"VALENTINA ANDRADE SANTANA","898005107252178",NULL,NULL,"2015-08-02","JULIANA ANDRADE RABELO","4555","2019-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ELOA MARIA FARIAS DA SILVA","898005815267475",NULL,NULL,"2017-10-13","RITA LIMA DA SILVA","4574","2019-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LIZ RARRIS SANTOS","898005146549909",NULL,NULL,"2016-07-24","RAINNA MONALIZA RARRIS LUCENA","4587","2019-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"VALERIA RIVERO VARGAS",NULL,NULL,NULL,"2016-03-08","ROSMARY RIVERO","4644","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"MOISES HARAEL DO VALE LACERDA","898005127259453",NULL,NULL,"2016-08-02","JESSICA LARISSA DO VALE MENDES","4462","2019-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ROKNEL SEBASTIAN VALLENILLA RIVERO",NULL,NULL,NULL,"2013-10-09","ROSMARY MILAGROS RIVERO RENGEL","4645","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ANDRE VINICIUS PERREIRA DE MENEZES","898004884011386",NULL,NULL,"2013-08-31","KAMAUANE FERREIRA MARTINS","4661","2018-12-05","2019-12",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
