"NOME_PESSOA","CNS","CPF","PIS","DATA_NASCIMENTO","NOME_MAE","ID_ORIGEM","DATA_EVENTO","COMPETENCIA","ID_EVENTO_ORIGEM","STATUS","DATA_INATIVACAO","GESTACAO","PESO","ALTURA","DUM","DPP","SEMANA_GESTACIONAL","LOCAL","PROFISSIONAL"
"MARIA ISABELLY MACIEL CAVALCANTE","700107433246820",,,"2016-06-21","THAINA PEREIRA MACIEL","1605","2018-09-10","2019-12","13",,,,,,,,,,
"JOAO MIGUEL OLIVEIRA DE SOUZA","898004151279026",,,"2013-12-23","BEATRIZ VIEIRA DE OLIVEIRA","1695","2019-11-25","2019-12","13",,,,,,,,,,
"MARIA CLARA DOS SANTOS","898004995894839",,,"2015-11-20","LEILA DOS SANTOS","468","2018-05-16","2019-12","13",,,,,,,,,,
"YRLA OLIVEIRA MACEDO","898005149140777",,,"2016-11-25","VIVIAN OLIVEIRA MACEDO","477","2018-01-15","2019-12","13",,,,,,,,,,
"ALICE LIMA SANTOS","898004670376448",,,"2015-01-12","FRANCISC GENILA LIMA DAMASCENO","1278","2018-03-28","2019-12","13",,,,"26.4","1.31",,,,,
"ALICE LIMA SANTOS","898004670376448",,,"2015-01-12","FRANCISC GENILA LIMA DAMASCENO","1278","2018-06-25","2019-12","13",,,,"26.7","1.34",,,,,
"PAULO VIEIRA DA SILVA","898004801826298",,,"2015-05-20","TATIANE VIEIRA DA SILVA","106","2019-10-11","2019-12","13",,,,,,,,,,
"PAULO VIEIRA DA SILVA","898004801826298",,,"2015-05-20","TATIANE VIEIRA DA SILVA","106","2019-12-06","2019-12","13",,,,,,,,,,
"ANNA VITORIA FIGUEIRA ALVES","898005135414926",,,"2016-05-31","ANNA CLAUDIA FIGUEIRA NUNES","1371","2019-11-18","2019-12","13",,,,"67","1.6",,,,,
"EVELLYN VITORIA DE SOUZA RAMOS","898005146808696",,,"2016-11-18","CIDICLEIA SOUSA RAMOS","889","2019-10-04","2019-12","13",,,,,,,,,,
"MARIANA LAURIDES VASCONCELOS SILVEROL","898005150042635",,,"2016-11-22","SAYRLA DE JESUS VASCONCELOS","1510","2019-11-25","2019-12","13",,,,,,,,,,
"ARTUR YKARO DAMASCENO SILVA","898004151289382",,,"2014-01-22","JOSIMAR DE OLIVEIRA DA SILVA","2872","2019-05-13","2019-12","13",,,,,,,,,,
"MYKAELL JESUS RODRIGUES MELO","898004177637604",,,"2014-03-13","HELEN DAYANA CAETANO","2902","2018-06-18","2019-12","13",,,,"52.6","1.54",,,,,
"LARA TAYNAH GONCALVES FILGUEIRAS","898004243424197",,,"2014-01-30","CICERA NAYANNA CUNHA GONCALVES","3580","2018-09-20","2019-12","13",,,,"73.8",,,,,,
"LEONA COUTINHO BAIA","702000384385282",,,"2013-04-30","BERNADETE QUADROS COUTINHO","2283","2018-04-16","2019-12","13",,,,,,,,,,
"DANILO RAPOSO DE OLIVEIRA","702306154471511","06214242264",,"2015-01-17","ANA RAQUEL JAIME RAPOSO","2304","2018-11-08","2019-12","13",,,,,,,,,,
"MANUELY RAYSSA PEREIRA MORAIS","898005133465957",,,"2016-07-04","RAYANE PEREIRA CRUZ","3625","2018-11-08","2019-12","13",,,,,,,,,,
"MANUELY RAYSSA PEREIRA MORAIS","898005133465957",,,"2016-07-04","RAYANE PEREIRA CRUZ","3625","2018-12-17","2019-12","13",,,,"67.3",,,,,,
"ISAAC ALEJANDRO DE OLIVEIRA PORFIRIO","898004504294569",,,"2013-08-24","GRACY KELLY DOS SANTOS OLIVEIRA","4459","2019-10-09","2019-12","13",,,,"73.9","1.68",,,,,
"LUISA DE SOUSA SILVA","898004545112805",,,"2014-10-23","VALCIMAX ALVES DA SILVA","2332","2018-04-03","2019-12","13",,,,"72.5",,,,,,
"LUISA DE SOUSA SILVA","898004545112805",,,"2014-10-23","VALCIMAX ALVES DA SILVA","2332","2019-07-04","2019-12","13",,,,,,,,,,
"ELOAH MIRYAN SOUZA SALAZAR","898005147555074",,,"2016-12-26","RAILANE SOUZA SALAZAR","2333","2018-09-11","2019-12","13",,,,"68.9",,,,,,
"HEITOR EMANUEL ALVES SALAZAR","898004874155644",,,"2015-10-23","TAMARA ALES DA FONSECA GALVAO","2339","2018-01-25","2019-12","13",,,,"42.5",,,,,,
"HEITOR EMANUEL ALVES SALAZAR","898004874155644",,,"2015-10-23","TAMARA ALES DA FONSECA GALVAO","2339","2018-04-09","2019-12","13",,,,"42",,,,,,
"HEITOR EMANUEL ALVES SALAZAR","898004874155644",,,"2015-10-23","TAMARA ALES DA FONSECA GALVAO","2339","2019-09-16","2019-12","13",,,,,,,,,,
"PENELOPY SOPHIA OLIVEIRA DE SOUSA","898005114608373",,,"2016-03-30","INAYARA DE OLIVEIRA PINHEIRO","3000","2018-03-26","2019-12","13",,,,"95",,,,,,
"JORGE KAYDEN CORREA DE OLIVEIRA","898004804908236",,,"2015-05-24","JULIANA ROSAS CORREA","3697","2019-10-07","2019-12","13",,,,,,,,,,
"KELVYSON SANTOS PINHO","898005164078084",,,"2017-04-14","KELRY FERREIRA SANTOS","4480","2018-03-06","2019-12","13",,,,,,,,,,
"ANDERSON RODRIGUES GOMES","898004993543435",,,"2015-11-14","JENIANA RODRIGUES DE SOUZA","4508","2019-06-12","2019-12","13",,,,,,,,,,
"KAYLA VITORIA LIDINAURA DE ENCARNACAO MORIZ","898004866180376",,,"2013-08-01","PRISCILA ENCARNACAO MORIZ","2360","2019-08-29","2019-12","13",,,,,,,,,,
"KAYLA VITORIA LIDINAURA DE ENCARNACAO MORIZ","898004866180376",,,"2013-08-01","PRISCILA ENCARNACAO MORIZ","2360","2019-10-07","2019-12","13",,,,,,,,,,
"MIGUEL ARCANJO ALBARADO DIAS","898004527614209",,,"2014-08-26","GERLIANE DA SILVA ALBARADO","2363","2018-08-30","2019-12","13",,,,"71",,,,,,
"MIGUEL ARCANJO ALBARADO DIAS","898004527614209",,,"2014-08-26","GERLIANE DA SILVA ALBARADO","2363","2019-01-21","2019-12","13",,,,"72.5","1.49",,,,,
