"NOME","CNS","CPF","PIS","DATA_NASCIMENTO","NOME_MAE","ID_ORIGEM","DATA_EVENTO","COMPETENCIA","ID_EVENTO_ORIGEM","STATUS","DATA_INATIVACAO","GESTACAO","PESO","ALTURA","DUM","DPP","SEMANA_GESTACIONAL","LOCAL","PROFISSIONAL"
"YONARA LILIAN DA SILVA GOMES","701805268605777",,,"1989-04-03","ANA BERNALDO DA SILVA","184","2019-03-14","2019-12","2","ATIVO",,"3",,,,,,,
"YONARA LILIAN DA SILVA GOMES","701805268605777",,,"1989-04-03","ANA BERNALDO DA SILVA","184","2019-07-04","2019-12","2","ATIVO",,"2",,,,,,,
"DAYANNA MAYARA ALVES DA SILVA","705004831508050",,,"1990-08-28","CLAUDETE ALVES DA SILVA","198","2018-09-18","2019-12","2","ATIVO",,"2",,,,,,,
"BIANCA PEREIRA DA SILVA","702408568154023","02356854290","16130166428","1996-04-17","EUNACELIA PEREIRA DA SILVA","221","2019-10-03","2019-12","2","ATIVO",,"2",,,,,,,
"AMANDA VITOR SIMOES","700106875391590",,,"1986-07-16","FRANCISCA VITOR SIMOES","250","2019-11-06","2019-12","2","ATIVO",,"3",,,,,,,
"GIZELY CASTRO DA SILVA MELO","700106962772320","05013128200","16297968722","2005-03-30","SHIRLENE CASTRO DA SILVA","269","2019-06-06","2019-12","2","ATIVO",,"1",,,,,,,
"ANNA PAULA SILVA SOARES","704801063645646","01915183286",,"1990-08-29","DIANA DA COSTA SILVA SOARES","309","2019-10-04","2019-12","2","ATIVO",,"2",,,,,,,
"JOILA BETANIA SOUSA FIGUEREDO","705000627487950",,,"1988-11-19","JULIA LUIZA DE SOUSA FIGUEREDO","352","2019-01-31","2019-12","2","ATIVO",,"2",,,,,,,
"JOILA BETANIA SOUSA FIGUEREDO","705000627487950",,,"1988-11-19","JULIA LUIZA DE SOUSA FIGUEREDO","352","2019-05-23","2019-12","2","ATIVO",,"3",,,,,,,
"WENDY MARIANO CARDOSO","898003025479932",,,"1995-08-21","MARIZA DA SILVA MARIANO","368","2018-09-25","2019-12","2","ATIVO",,"1",,,,,,,
"JHULIANE GADELHA DOS SANTOS","700502308384158",,,"2001-02-15","SIMONE GADELHA MACHADO","380","2019-05-28","2019-12","2","ATIVO",,"1",,,,,,,
"LETICIA CARVALHO BEZERRA","702403055108520",,,"1997-09-29","MARLI CARVALHO BEZERRA","381","2018-08-17","2019-12","2","INATIVO",,"2",,,,,,,
"CARLA FERREIRA DE SOUSA","702001813398780","55034640287","16305760889","1996-08-06","ZELIA MIRANDA FERREIRA","407","2019-11-13","2019-12","2","ATIVO",,"2",,,,,,,
"PALOMA SILVA DE SOUSA","706401145496989","01963179242","16631470847","1993-08-04","MARIA JUCINEIDE SILVA DE SOUSA","469","2018-08-09","2019-12","2","ATIVO",,"2",,,,,,,
"JARDEANE ARAUJO SILVA","703608021583537",,,"1997-05-24","EDSANDRA DIONISIO ARAUJO","487","2019-10-25","2019-12","2","ATIVO",,"1",,,,,,,
"LARISSA ROSA DE OLIVEIRA","705601448637015",,,"1996-12-16","FRANCISCA ROSA DE OLIVEIRA","522","2018-08-09","2019-12","2","ATIVO",,"2",,,,,,,
"KELIANE DE SOUSA COSTA","700001098201307",,,"1992-09-23","MARIA ANTONIA DE SOUSA COSTA","561","2019-06-06","2019-12","2","ATIVO",,"2",,,,,,,
"MARIANNA GABRIELLA FRANCA BENTES","704406303414110","98627341249",,"1981-12-15","MARIA DAS GRACAS ALENCAR FRANCA","683","2019-06-27","2019-12","2","ATIVO",,"2",,,,,,,
"MARCIA ANDREIA LOURENCO RIBEIRO","702605266984541",,,"1987-07-24","MIRAMAR LOURENCO THOMAS","727","2019-08-01","2019-12","2","ATIVO",,"1",,,,,,,
"JORDANIA CRISTINA MENDES","704707743840337",,,"1991-09-11","IRENE MENDES DA ROCHA","735","2018-09-27","2019-12","2","ATIVO",,"1",,,,,,,
"THAYLANAN DUARTE","705408407617492",,,"1994-10-11","ALCINEIA ANGELO DUARTE","794","2019-11-05","2019-12","2","ATIVO",,"2",,,,,,,
"NATALIA SAMPAIO DA SILVA","706005802017744",,,"1998-11-22","FABIANA SAMPAIO PINTO","813","2018-12-27","2019-12","2","ATIVO",,"3",,,,,,,
"NATALIA SAMPAIO DA SILVA","706005802017744",,,"1998-11-22","FABIANA SAMPAIO PINTO","813","2019-06-06","2019-12","2","ATIVO",,"2",,,,,,,
"LEILA PEREIRA CARDOSO","703602093824837",,,"1989-08-19","DIVINA PEREIRA","912","2019-02-21","2019-12","2","ATIVO",,"3",,,,,,,
"GRACIANA ARAUJO FONTELES","701205044628817","82736200268",,"1984-11-24","MARIA OLIVEIRA ARAUJO","949","2019-10-24","2019-12","2","ATIVO",,"1",,,,,,,
"VALDETE SANTANA DOS REIS","704708754578133",,,"1979-03-25","MARIA ANTONIA SILVA DE SANTANA","998","2018-08-02","2019-12","2","ATIVO",,"1",,,,,,,
"MELRYENE SANTOS COSTA","705003033678659",,,"1995-03-04","MARIA DO SOCORRO SANTOS SILVA","1007","2018-08-15","2019-12","2","INATIVO",,"3",,,,,,,
"LEUZANIR GOMES","700006959918205","08065316140","20198617407","1994-02-10","ZULEIDE GOMES","1083","2018-11-06","2019-12","2","ATIVO",,"3",,,,,,,
"ALINE MORAES DOS SANTOS","702605752785249",,,"1981-01-01","ANA MARIA MORAES DOS SANTOS","1132","2019-08-08","2019-12","2","ATIVO",,"1",,,,,,,
"GRAZIELE VIEIRA DA SILVA","704709796776236",,,"1998-10-28","PAULA VIEIRA DA SILVA","1196","2018-10-04","2019-12","2","ATIVO",,"2",,,,,,,
"NATALIA RAMOS DA SILVA","701800267855279","90946065268",,"1984-09-13","MARIA DO SOCORRO DE MORAIS RAMOS","1299","2019-06-25","2019-12","2","ATIVO",,"2",,,,,,,
"VITORIA REGIA DE SOUSA CARDOSO","708601070814983",,,"1996-05-05","CREUSA DE SOUSA SALAZAR","1306","2018-08-16","2019-12","2","ATIVO",,"1",,,,,,,
"JEICIANE URIZZI CESCONETO","708406712942868","91421616220",,"1989-09-19","CLARICE FERREIRA URIZZI","1332","2019-06-11","2019-12","2","ATIVO",,"2",,,,,,,
"REGINA OLIVEIRA DE SOUZA","709608640392970","87225751204",,"1983-06-21","MARIA AUXILIADORA OLIVEIRA DE SOUZA","1364","2019-02-21","2019-12","2","ATIVO",,"1",,,,,,,
"EDILENE DE SOUZA SILVA","706802273284523","77399641234",,"1984-07-06","DEUZANIRA DE SOUZA SILVA","1374","2019-08-29","2019-12","2","ATIVO",,"3",,,,,,,
"FLAVIANA RODRIGUES MELO","706404116958883",,,"2001-04-23","ALZINETE ALZINETE","1438","2019-05-02","2019-12","2","ATIVO",,"2",,,,,,,
"FLAVIANA RODRIGUES MELO","706404116958883",,,"2001-04-23","ALZINETE ALZINETE","1438","2019-06-04","2019-12","2","ATIVO",,"3",,,,,,,
"ANA PAULA CAMPOS DA SILVA","708206620833142",,,"1987-02-08","MARLENE MARIA DA SILVA","1439","2018-07-05","2019-12","2","ATIVO",,"2",,,,,,,
"ANA PAULA CAMPOS DA SILVA","708206620833142",,,"1987-02-08","MARLENE MARIA DA SILVA","1439","2018-07-05","2019-12","2","ATIVO",,"3",,,,,,,
"PAULA PEREIRA MARTINS","708902747379312","01332829376",,"1986-12-24","GRACY PEREIRA MARTINS","1533","2019-06-13","2019-12","2","ATIVO",,"1",,,,,,,
"KAROLLINY RODRIGUES CARVALHO","898002779635233",,,"2001-03-25","MARIA CLAUDIA OLIVEIRA DE CARVALHO","1544","2018-07-26","2019-12","2","ATIVO",,"2",,,,,,,
"MEURILENE DA SILVA","702808699196168","05134916276","20654032518","2000-10-17","ROSIMEIRE SILVA DO NASCIMENTO","1581","2019-05-09","2019-12","2","ATIVO",,"1",,,,,,,
"MEURILENE DA SILVA","702808699196168","05134916276","20654032518","2000-10-17","ROSIMEIRE SILVA DO NASCIMENTO","1581","2019-04-08","2019-12","2","ATIVO",,"1",,,,,,,
